2025-08-01 11:27:58 | INFO     | modules.leitor_documentos.service:_extract_content:115 | Extração de dados brutos concluída. Tempo: 2.0s, Arquivo: 1.0 KB, Tamanho: 22 chars
2025-08-01 11:27:58 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração de dados de imagens: exemplo.pdf
2025-08-01 11:27:58 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: docling_pdf para arquivo: exemplo.pdf
2025-08-01 11:27:58 | INFO     | modules.leitor_documentos.service:_extract_content:115 | Extração de dados de imagens concluída. Tempo: 3.5s, Arquivo: 4.0 KB, Tamanho: 17 chars
2025-08-01 11:27:58 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração para markdown: exemplo.pdf
2025-08-01 11:27:58 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: <Mock name='_get_extractor().name' id='140298242528016'> para arquivo: exemplo.pdf
2025-08-01 11:27:58 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração de dados brutos: inexistente.pdf
2025-08-01 11:27:58 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: <Mock name='_get_extractor().name' id='140298240263520'> para arquivo: inexistente.pdf
2025-08-01 11:27:58 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração de dados de imagens: exemplo.pdf
2025-08-01 11:27:58 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: <Mock name='_get_extractor().name' id='140298240277296'> para arquivo: exemplo.pdf
2025-08-01 11:30:30 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração para markdown: exemplo.pdf
2025-08-01 11:30:30 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: docling_pdf para arquivo: exemplo.pdf
2025-08-01 11:30:30 | INFO     | modules.leitor_documentos.service:_extract_content:115 | Extração para markdown concluída. Tempo: 1.5s, Arquivo: 2.0 KB, Tamanho: 18 chars
2025-08-01 11:30:30 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração de dados brutos: exemplo.pdf
2025-08-01 11:30:30 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: pypdf para arquivo: exemplo.pdf
2025-08-01 11:30:30 | INFO     | modules.leitor_documentos.service:_extract_content:115 | Extração de dados brutos concluída. Tempo: 2.0s, Arquivo: 1.0 KB, Tamanho: 22 chars
2025-08-01 11:30:30 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração de dados de imagens: exemplo.pdf
2025-08-01 11:30:30 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: docling_pdf para arquivo: exemplo.pdf
2025-08-01 11:30:30 | INFO     | modules.leitor_documentos.service:_extract_content:115 | Extração de dados de imagens concluída. Tempo: 3.5s, Arquivo: 4.0 KB, Tamanho: 17 chars
2025-08-01 11:30:30 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração para markdown: exemplo.pdf
2025-08-01 11:30:30 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: <Mock name='_get_extractor().name' id='140428678165232'> para arquivo: exemplo.pdf
2025-08-01 11:30:30 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração de dados brutos: inexistente.pdf
2025-08-01 11:30:30 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: <Mock name='_get_extractor().name' id='140428678351184'> para arquivo: inexistente.pdf
2025-08-01 11:30:30 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração de dados de imagens: exemplo.pdf
2025-08-01 11:30:30 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: <Mock name='_get_extractor().name' id='140428678356272'> para arquivo: exemplo.pdf
2025-08-01 11:31:22 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração para markdown: exemplo.pdf
2025-08-01 11:31:22 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: docling_pdf para arquivo: exemplo.pdf
2025-08-01 11:31:22 | INFO     | modules.leitor_documentos.service:_extract_content:115 | Extração para markdown concluída. Tempo: 1.5s, Arquivo: 2.0 KB, Tamanho: 18 chars
2025-08-01 11:31:22 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração de dados brutos: exemplo.pdf
2025-08-01 11:31:22 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: pypdf para arquivo: exemplo.pdf
2025-08-01 11:31:22 | INFO     | modules.leitor_documentos.service:_extract_content:115 | Extração de dados brutos concluída. Tempo: 2.0s, Arquivo: 1.0 KB, Tamanho: 22 chars
2025-08-01 11:31:22 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração de dados de imagens: exemplo.pdf
2025-08-01 11:31:22 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: docling_pdf para arquivo: exemplo.pdf
2025-08-01 11:31:22 | INFO     | modules.leitor_documentos.service:_extract_content:115 | Extração de dados de imagens concluída. Tempo: 3.5s, Arquivo: 4.0 KB, Tamanho: 17 chars
2025-08-01 11:31:22 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração para markdown: exemplo.pdf
2025-08-01 11:31:22 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: <Mock name='_get_extractor().name' id='140526629863840'> para arquivo: exemplo.pdf
2025-08-01 11:31:22 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração de dados brutos: inexistente.pdf
2025-08-01 11:31:22 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: <Mock name='_get_extractor().name' id='140526629775136'> para arquivo: inexistente.pdf
2025-08-01 11:31:22 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração de dados de imagens: exemplo.pdf
2025-08-01 11:31:22 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: <Mock name='_get_extractor().name' id='140526629863504'> para arquivo: exemplo.pdf
2025-08-01 11:32:47 | INFO     | modules.leitor_documentos.router:limpar_arquivos_temporarios:407 | Iniciando limpeza de arquivos temporários (max_age: 24h)
2025-08-01 11:32:47 | INFO     | modules.leitor_documentos.router:limpar_arquivos_temporarios:413 | Limpeza concluída. 0 arquivo(s) removido(s)
2025-08-01 11:32:47 | INFO     | modules.leitor_documentos.router:limpar_arquivos_temporarios:407 | Iniciando limpeza de arquivos temporários (max_age: 12h)
2025-08-01 11:32:47 | INFO     | modules.leitor_documentos.router:limpar_arquivos_temporarios:413 | Limpeza concluída. 0 arquivo(s) removido(s)
2025-08-01 11:32:47 | INFO     | modules.leitor_documentos.router:limpar_arquivos_temporarios:407 | Iniciando limpeza de arquivos temporários (max_age: 24h)
2025-08-01 11:32:47 | INFO     | modules.leitor_documentos.router:limpar_arquivos_temporarios:413 | Limpeza concluída. 0 arquivo(s) removido(s)
2025-08-01 11:32:47 | INFO     | modules.leitor_documentos.router:limpar_arquivos_temporarios:407 | Iniciando limpeza de arquivos temporários (max_age: 24h)
2025-08-01 11:32:47 | INFO     | modules.leitor_documentos.router:limpar_arquivos_temporarios:413 | Limpeza concluída. 0 arquivo(s) removido(s)
2025-08-01 11:32:47 | INFO     | modules.leitor_documentos.router:limpar_arquivos_temporarios:407 | Iniciando limpeza de arquivos temporários (max_age: 24h)
2025-08-01 11:32:47 | INFO     | modules.leitor_documentos.router:limpar_arquivos_temporarios:413 | Limpeza concluída. 0 arquivo(s) removido(s)
2025-08-01 11:32:47 | INFO     | modules.leitor_documentos.router:limpar_arquivos_temporarios:407 | Iniciando limpeza de arquivos temporários (max_age: 1h)
2025-08-01 11:32:47 | INFO     | modules.leitor_documentos.router:limpar_arquivos_temporarios:413 | Limpeza concluída. 0 arquivo(s) removido(s)
2025-08-01 11:32:47 | INFO     | modules.leitor_documentos.router:limpar_arquivos_temporarios:407 | Iniciando limpeza de arquivos temporários (max_age: 24h)
2025-08-01 11:32:47 | INFO     | modules.leitor_documentos.router:limpar_arquivos_temporarios:413 | Limpeza concluída. 0 arquivo(s) removido(s)
2025-08-01 11:32:47 | INFO     | modules.leitor_documentos.router:limpar_arquivos_temporarios:407 | Iniciando limpeza de arquivos temporários (max_age: 168h)
2025-08-01 11:32:47 | INFO     | modules.leitor_documentos.router:limpar_arquivos_temporarios:413 | Limpeza concluída. 0 arquivo(s) removido(s)
2025-08-01 13:26:24 | INFO     | modules.leitor_documentos.router:extrair_para_markdown:183 | Iniciando extração para markdown: exemplo.pdf
2025-08-01 13:26:24 | INFO     | modules.leitor_documentos.service:save_upload_file:221 | Arquivo salvo temporariamente: files/temp/20250801_132624_526c141b-bdb2-4415-9ff1-9107905d0efe.pdf (Tamanho: 25.2 KB)
2025-08-01 13:26:24 | INFO     | modules.leitor_documentos.router:extrair_para_markdown:195 | Arquivo salvo temporariamente: files/temp/20250801_132624_526c141b-bdb2-4415-9ff1-9107905d0efe.pdf
2025-08-01 13:26:24 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração para markdown: 20250801_132624_526c141b-bdb2-4415-9ff1-9107905d0efe.pdf
2025-08-01 13:26:25 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: docling_pdf para arquivo: files/temp/20250801_132624_526c141b-bdb2-4415-9ff1-9107905d0efe.pdf
2025-08-01 13:26:58 | INFO     | modules.leitor_documentos.service:_extract_content:115 | Extração para markdown concluída. Tempo: 33.8s, Arquivo: 25.2 KB, Tamanho: 92 chars
2025-08-01 13:26:58 | INFO     | modules.leitor_documentos.router:extrair_para_markdown:215 | Extração markdown concluída com sucesso: exemplo.pdf
2025-08-01 13:26:58 | INFO     | modules.leitor_documentos.service:cleanup_temp_file:245 | Arquivo temporário removido: files/temp/20250801_132624_526c141b-bdb2-4415-9ff1-9107905d0efe.pdf
2025-08-01 13:26:58 | INFO     | modules.leitor_documentos.router:extrair_para_markdown:183 | Iniciando extração para markdown: exemplo.pdf
2025-08-01 13:26:58 | INFO     | modules.leitor_documentos.service:save_upload_file:221 | Arquivo salvo temporariamente: files/temp/20250801_132658_2a7b828c-0c59-492e-862a-88a7959d4954.pdf (Tamanho: 25.2 KB)
2025-08-01 13:26:58 | INFO     | modules.leitor_documentos.router:extrair_para_markdown:195 | Arquivo salvo temporariamente: files/temp/20250801_132658_2a7b828c-0c59-492e-862a-88a7959d4954.pdf
2025-08-01 13:26:58 | INFO     | modules.leitor_documentos.service:_extract_content:84 | Iniciando extração para markdown: 20250801_132658_2a7b828c-0c59-492e-862a-88a7959d4954.pdf
2025-08-01 13:26:58 | INFO     | modules.leitor_documentos.service:_extract_content:90 | Usando extractor: pypdf para arquivo: files/temp/20250801_132658_2a7b828c-0c59-492e-862a-88a7959d4954.pdf
2025-08-01 13:26:58 | INFO     | modules.leitor_documentos.service:cleanup_temp_file:245 | Arquivo temporário removido: files/temp/20250801_132658_2a7b828c-0c59-492e-862a-88a7959d4954.pdf
2025-08-01 13:26:58 | ERROR    | modules.leitor_documentos.router:_handle_extraction_error:140 | Funcionalidade não implementada na extração markdown: Conversão para markdown não suportada pelo PypdfExtractor.
2025-08-01 13:26:58 | INFO     | modules.leitor_documentos.router:extrair_dados_brutos:247 | Iniciando extração de dados brutos: exemplo.pdf
2025-08-01 13:26:58 | INFO     | modules.leitor_documentos.service:save_upload_file:221 | Arquivo salvo temporariamente: files/temp/20250801_132658_74dce5a2-79b3-4bc2-bf1c-7852861c110e.pdf (Tamanho: 25.2 KB)
2025-08-01 13:26:58 | INFO     | modules.leitor_documentos.router:extrair_dados_brutos:259 | Arquivo salvo temporariamente: files/temp/20250801_132658_74dce5a2-79b3-4bc2-bf1c-7852861c110e.pdf
